J0054+66,13.5,0,66,0,0.719424,0,*,0,*,0,*,0.901
J0054+6946,13.74632,3,69.771347,10,1.200607995,6,-1.04E-15,10,*,0,*,2.757
J0055+5117,13.9391588,5,51.2901669,3,0.472774981,8,-2.13E-15,8,7.80E-28,14,*,2.8
J0056+4756,14.1063,8,47.93626,7,2.118479517,3,-1.49E-14,3,-2.70E-26,5,*,1.123
J0057-7201,14.4333,17,-72.0219,6,1.354898911,4,-1.80E-16,15,*,0,*,3.475
J0058+4950,14.54162,12,49.84056,7,1.003992424,4,-8.10E-16,2,*,0,*,2.647
J0058+6125,14.5,0,61.41667,0,1.569859,0,*,0,*,0,*,2.597
J0058-7218,14.5696,9,-72.3017,3,45.942987,4,-6.10E-11,6,*,0,*,59.7
J0059+69,14.88,15,69.92,5,0.872676,0,*,0,*,0,*,2.048
J0100+8023,15.06704,5,80.394931,9,0.669522888,9,-1.59E-16,3,*,0,*,2.847
J0100-7211,15.1793,5,-72.19267,14,0.12468219,14,-2.92E-13,13,*,0,*,59.7
J0101-6422,15.2963179,9,-64.3750475,6,388.6284257,4,-7.79E-16,5,*,0,BT,1.001
J0102+4839,15.7111217,9,48.6618788,9,337.3691203,8,-1.30E-15,4,*,0,ELL1,2.31
J0102+6537,15.6374642,5,65.6203933,3,0.595534363,4,-2.11E-15,3,-2.87E-26,6,*,2.5
J0103+54,15.9,9,54.03,9,2.82243,5,*,0,*,0,*,2.01
J0104+64,16,0,64,0,0.721501,0,*,0,*,0,*,1.711
J0106+4855,16.60442,5,48.93106,6,12.02540174,8,-6.19E-14,7,*,0,*,3.063
J0107+1322,16.91646,9,13.3755,3,0.835154392,7,-4.79E-16,3,*,0,*,2.349
J0108+6608,17.0937704,13,66.1429164,3,0.779022578,3,-7.92E-15,18,3.10E-25,5,*,2.14
J0108+6905,17.12293,9,69.09795,3,0.933603858,4,-4.19E-17,3,-7.80E-28,63,*,1.981
J0108-1431,17.0347792,4,-14.5306075,4,1.238291008,3,-1.18E-16,18,-8.90E-27,77,*,0.21
J0109+11,17.2,10,11.5,3,2.31107,0,*,0,*,0,*,1.566
J0110-22,17.5,0,-22,0,0.792393,0,*,0,*,0,*,25
J0111+6624,17.8412,6,66.403,18,0.232456934,2,-4.52E-16,9,*,0,*,2.412
J0111-7131,17.8699,4,-71.52967,17,1.452345259,11,-1.50E-14,9,*,0,*,59.7
J0113-7220,18.29621,13,-72.34228,5,3.068585813,10,-4.58E-14,15,*,0,*,59.7
J0115+6325,18.94112,5,63.43078,3,1.917709448,19,-5.88E-15,12,*,0,*,1.931
J0117+5914,19.411088,11,59.243997,7,9.858134885,19,-5.69E-13,16,-3.38E-24,4,*,1.768
J0121+53,20,3,53.5,3,0.36700149,6,*,0,*,0,*,2.644
J0122+1416,20.50546,13,14.2714,3,0.71994554,11,-1.97E-15,6,*,0,*,1.584
J0125+62,21.5,8,62.6,3,0.5854,4,*,0,*,0,*,2.403
J0125-2327,21.25447637,3,-23.45225969,3,272.0810885,10,-1.36E-15,10,*,0,ELL1,0.714
J0131-7310,22.86879,13,-73.16926,4,2.872539294,6,-1.45E-14,6,*,0,*,59.7
J0133-6957,23.38525,5,-69.958244,9,2.157619537,14,-5.59E-16,10,*,0,*,2.441
J0134-2937,23.5778433,13,-29.6214006,20,7.301316013,7,-4.18E-15,14,*,0,*,25
J0137+1654,24.3495,5,16.91169,12,2.411015293,3,-7.11E-17,18,*,0,*,3.061
J0137+6349,24.30569,8,63.82621,4,1.392829965,10,-1.86E-15,9,*,0,*,9.097
