47,B0531+21,J0534+2200,19,52587.2,0.01,1.7,0.1,0.5,0.1,Espinoza+2011 [elsk11]
48,B0531+21,J0534+2200,20,53067.078,0.0002,214,1,6.2,0.2,Espinoza+2011 [elsk11]
49,B0531+21,J0534+2200,21,53254.109,0.002,4.9,0.1,0.2,0.1,Espinoza+2011 [elsk11]
50,B0531+21,J0534+2200,22,53331.17,0.01,2.8,0.2,0.7,0.1,Espinoza+2011 [elsk11]
51,B0531+21,J0534+2200,23,53970.19,0.0003,21.8,0.2,3.1,0.1,Espinoza+2011 [elsk11]
52,B0531+21,J0534+2200,24,54580.38,0.01,4.7,0.1,0.2,0.1,Espinoza+2011 [elsk11]
53,B0531+21,J0534+2200,25,55875.49,0.03,39,4,0.23,0.02,Basu+2021 [bsa+21]
54,B0531+21,J0534+2200,26,57839.8,0.1,2.2,0.4,X,X,Basu+2021 [bsa+21]
55,B0531+21,J0534+2200,27,58064.555,0.003,516.37,0.1,6.969,0.021,Shaw+2018; also Basu+2019 [bkj+19]
56,B0531+21,J0534+2200,28,58237.357,0.005,4.08,0.22,0.46,0.11,Shaw+2018 (ATel #11625); also Basu+2019 [bkj+19]
57,B0531+21,J0534+2200,29,58470.7,0.2,2.3,0.6,X,X,Basu+2021 [bsa+21]
58,B0531+21,J0534+2200,30,58687.565,0.004,31.7,1.2,0.341,0.033,Shaw+2021 [skl+21] Also in Shaw+2019 [smk+19]
59,J0537-6910,J0537-6910,1,51278,16,687,3,1,1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
60,J0537-6910,J0537-6910,2,51562,15,450,3,0.7,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
61,J0537-6910,J0537-6910,3,51711,5,315,1,0.6,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
62,J0537-6910,J0537-6910,4,51826,8,140,1,0.5,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
63,J0537-6910,J0537-6910,5,51881,6,140,1,0.7,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
64,J0537-6910,J0537-6910,6,51960,5,454,5,0.8,0.5,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
65,J0537-6910,J0537-6910,7,52152,1,2.3,0.4,X,X,Antonopoulou+2018 [aeka18] Also in Middleditch+2006 [mmw+06]
66,J0537-6910,J0537-6910,8,52170,5,184,1,0.8,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
67,J0537-6910,J0537-6910,9,52241,12,426,1,0.2,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
68,J0537-6910,J0537-6910,10,52378,11,168,1,0.4,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
69,J0537-6910,J0537-6910,11,52453,7,218,1,0.4,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
70,J0537-6910,J0537-6910,12,52545,6,420,2,0.5,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
71,J0537-6910,J0537-6910,13,52731,14,146,3,0.6,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
72,J0537-6910,J0537-6910,14,52807,15,255,3,0.6,0.3,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
73,J0537-6910,J0537-6910,15,52886,3,234.6,0.3,0.44,0.05,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
74,J0537-6910,J0537-6910,16,53014,6,338,1,0.7,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
75,J0537-6910,J0537-6910,17,53125.5,0.1,17,1,0.4,0.3,Antonopoulou+2018 [aeka18]
76,J0537-6910,J0537-6910,18,53145,2,391.1,0.2,0.19,0.04,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
77,J0537-6910,J0537-6910,19,53288,3,395,1,0.7,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
78,J0537-6910,J0537-6910,20,53445,2,260,1,0.9,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
79,J0537-6910,J0537-6910,21,53550,2,321,1,0.7,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
80,J0537-6910,J0537-6910,22,53696,14,409,3,0.7,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
81,J0537-6910,J0537-6910,23,53861,1,235,1,0.8,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
82,J0537-6910,J0537-6910,24,53951.3,0.3,18,1,0.3,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06]
83,J0537-6910,J0537-6910,25,53999,3,352,1,0.4,0.3,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
84,J0537-6910,J0537-6910,26,54094,5,371,2,0.1,0.3,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
85,J0537-6910,J0537-6910,27,54243,8,1,0.3,X,X,Antonopoulou+2018 [aeka18]
86,J0537-6910,J0537-6910,28,54271,2,488,1,0.8,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
87,J0537-6910,J0537-6910,29,54448,7,239,1,0.8,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
88,J0537-6910,J0537-6910,30,54538,4,114,1,0.5,0.3,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
89,J0537-6910,J0537-6910,31,54578,5,147,1,0,1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
90,J0537-6910,J0537-6910,32,54639,2,128.7,0.5,0.4,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
91,J0537-6910,J0537-6910,33,54712,2,105,1,0.5,0.3,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
92,J0537-6910,J0537-6910,34,54767,4,362,1,0.6,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
93,J0537-6910,J0537-6910,35,54895,9,341,1,0.5,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
94,J0537-6910,J0537-6910,36,55043,2,217,0.5,0.8,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
95,J0537-6910,J0537-6910,37,55184,2,209,1,1.1,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
96,J0537-6910,J0537-6910,38,55280,4,549,3,0.3,0.3,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
97,J0537-6910,J0537-6910,39,55451,7,169,1,0.4,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
98,J0537-6910,J0537-6910,40,55519,2,122,1,0.4,0.3,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
99,J0537-6910,J0537-6910,41,55552,2,8,2,-2,2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
100,J0537-6910,J0537-6910,42,55587,2,87,2,1,4,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
101,J0537-6910,J0537-6910,43,55615,4,453,2,0.2,0.5,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
102,J0537-6910,J0537-6910,44,55786.1,0.1,14,1,-0.2,0.2,Antonopoulou+2018 [aeka18]
103,J0537-6910,J0537-6910,45,55819,2,346,1,0.9,0.4,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18]
104,J0537-6910,J0537-6910,46,58083,25,260.51,0.03,0.75,0.15,Ho+2020 [hea+20]
105,J0537-6910,J0537-6910,47,58152,11,581.94,0.1,0.8,0.15,Ho+2020 [hea+20]
106,J0537-6910,J0537-6910,48,58363,14,126.5,0.8,1.2,0.2,Ho+2020 [hea+20]
107,J0537-6910,J0537-6910,49,58424,2,409,5,1,0.5,Ho+2020 [hea+20]
108,J0537-6910,J0537-6910,50,58566,5,148.7,0.3,0.45,0.03,Ho+2020 [hea+20]
109,J0537-6910,J0537-6910,51,58637,8,435.92,0.16,0.43,0.02,Ho+2020 [hea+20]
110,J0537-6910,J0537-6910,52,58807,3,122.3,0.5,1.1,0.15,Ho+2020 [hea+20]
111,J0537-6910,J0537-6910,53,58868,3,388,1,1.2,0.23,Ho+2020 [hea+20]
112,B0540-69,J0540-6919,1,51335,12,1.4,0.2,0.133,0.002,Livingstone+2005 [lkg05]
113,B0559-05,J0601-0527,1,51665.2,0.1,0.2,0.1,-0.7,0.1,Espinoza+2011 [elsk11]
114,B0559-05,J0601-0527,2,54347,13,0.05,0.01,0.2,0.2,Basu+2021 [bsa+21]
115,J0611+1436,J0611+1436,1,55818,16,5575.4,0.8,X,X,Basu+2021 [bsa+21]
116,J0625+1015,J0625+1015,1,55203,8,0.33,0.05,X,X,Basu+2021 [bsa+21]
117,J0625+1015,J0625+1015,2,57676,3,1.17,0.06,0.9,0.2,Basu+2021 [bsa+21]
118,J0625+1015,J0625+1015,3,58488,28,767.35,0.11,3.15,0.27,New - Our measurement
119,J0613-0200,J0613-0200,1,50888,30,0.0025,0.0001,0.16,0.39,McKee+2016 [mjs+16]
120,J0631+1036,J0631+1036,1,50183.5,0.2,4.7,0.1,-0.7,0.1,Espinoza+2011 [elsk11]
121,J0631+1036,J0631+1036,2,50480.1,0.1,4.2,0.2,0.1,0.2,Espinoza+2011 [elsk11]
122,J0631+1036,J0631+1036,3,50608.277,0.001,57.3,0.1,1.2,0.1,Espinoza+2011 [elsk11]
123,J0631+1036,J0631+1036,4,50729,1,1662.7,0.1,3.5,0.2,Espinoza+2011 [elsk11]
124,J0631+1036,J0631+1036,5,51909.7,0.1,1.4,0.1,0.26,0.04,Espinoza+2011 [elsk11]
125,J0631+1036,J0631+1036,6,52852.5,0.01,17.6,0.1,2.48,0.04,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10]"
126,J0631+1036,J0631+1036,7,53230.1,0.1,1.6,0.1,0.4,0.1,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10]"
127,J0631+1036,J0631+1036,8,53366,1,1.9,0.1,0.3,0.1,Espinoza+2011 [elsk11]
128,J0631+1036,J0631+1036,9,53622.6,0.2,1.1,0.1,0.2,0.03,Espinoza+2011 [elsk11]
129,J0631+1036,J0631+1036,10,54099,2,0.4,0.1,-0.2,0.1,Espinoza+2011 [elsk11]
130,J0631+1036,J0631+1036,11,54170.4,0.1,1.6,0.1,-0.1,0.1,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10]"
131,J0631+1036,J0631+1036,12,54632.53,0.002,43.2,0.1,3.3,0.2,Espinoza+2011 [elsk11]
132,J0631+1036,J0631+1036,13,55119.35,0.06,9.4,0.4,0.2,0.5,Basu+2021 [bsa+21]
133,J0631+1036,J0631+1036,14,55276.7,0.3,7.5,0.6,X,X,Basu+2021 [bsa+21]
134,J0631+1036,J0631+1036,15,55702,5,3277.9,0.8,2.7,0.6,Basu+2021 [bsa+21]
135,J0631+1036,J0631+1036,16,58341.7,0.1,27.8,0.8,X,X,Basu+2021 [bsa+21]
136,J0631+1036,J0631+1036,17,58352.13,0.01,96.4,0.6,1.3,0.3,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21]
137,J0633+1746,J0633+1746,1,50382,X,0.6,X,X,X,Jackson+2002 [jhgm02]
138,B0656+14,J0659+1414,1,50197,8,0.6,0.4,0.3,0.5,Espinoza+2011 [elsk11]
139,B0656+14,J0659+1414,2,51017,3,1.3,0.1,2,1,Espinoza+2011 [elsk11]
140,J0726-2612,J0726-2612,1,56913,25,2.8,0.9,-0.6,0.4,New - Our measurement
141,J0726-2612,J0726-2612,2,58791,0.5,510,1.6,1.7,0.7,New - Our measurement
142,B0727-18,J0729-1836,1,51422,1,1,0.5,-2,3,Espinoza+2011 [elsk11]
143,B0727-18,J0729-1836,2,52150,3,4,1,6,2,Espinoza+2011 [elsk11]
144,J0729-1448,J0729-1448,1,52010,1,24.8,0.4,1.6,0.3,Espinoza+2011 [elsk11]
145,J0729-1448,J0729-1448,2,54317.7,0.2,23,1,4,3,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]"
146,J0729-1448,J0729-1448,3,54483.6,0.3,13,1,1,1,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]"
147,J0729-1448,J0729-1448,4,54592,1,12,1,-2,2,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]"
