Jname,RA_deg,RA_err,dec_deg,dec_err,F0,F0_err,F1,F1_err,F2,F2_err,binary_model,dist,MJD,dF_F,dF1_F1,E_naive,E_mountain,E_superfluid
J1834-0731,278.56654,9.0,-7.518314,20.0,1.949335711,6.0,-2.21e-13,7.0,*,0.0,*,4.072,53479.0,4.4,0.6,6.6006345924308965e+38,,2.4202326838913292e+33
J1835-1020,278.98991,5.0,-10.334583,17.0,3.306336172,16.0,-6.47e-14,2.0,*,0.0,*,2.909,57589.5,3.26,0.2,1.4069263178772012e+39,,1.1466449490699185e+34
J1835-1106,278.8267,3.0,-11.1045,3.0,6.027086879,10.0,-7.48e-13,16.0,*,0.0,*,3.159,52225.8,15.6,2.5,2.237171296592021e+40,,6.979974445367106e+34
J1835-1106,278.8267,3.0,-11.1045,3.0,6.027086879,10.0,-7.48e-13,16.0,*,0.0,*,3.159,58488.0,9.3,4.0,1.3336982729683202e+40,,1.5504242423256722e+34
J1836-1008,279.224691,17.0,-10.13565,7.0,1.777111997,7.0,-3.73e-14,5.0,-1.95e-25,7.0,*,5.343,55744.0,3.6,*,4.4884029068219674e+38,,*
J1837-0559,279.34855,3.0,-5.99128,6.0,4.973547631,2.0,-8.19e-14,4.0,*,0.0,*,4.315,53150.0,3.2,13.0,3.124944280179786e+39,,3.846085267913582e+32
J1837-0559,279.34855,3.0,-5.99128,6.0,4.973547631,2.0,-8.19e-14,4.0,*,0.0,*,4.315,56258.0,0.2,*,1.9530901751123662e+38,,*
J1837-0559,279.34855,3.0,-5.99128,6.0,4.973547631,2.0,-8.19e-14,4.0,*,0.0,*,4.315,58022.0,3.4,*,3.3202532976910223e+39,,*
J1837-0604,279.43146,5.0,-6.0803,3.0,10.38484062,4.0,-4.87e-12,9.0,*,0.0,*,4.779,55821.0,1398.0,6.9,5.952050117642646e+42,,6.029685553959723e+38
J1837-0604,279.43146,5.0,-6.0803,3.0,10.38484062,4.0,-4.87e-12,9.0,*,0.0,*,4.779,56511.0,16.7,*,7.110102787169683e+40,,*
J1837-0604,279.43146,5.0,-6.0803,3.0,10.38484062,4.0,-4.87e-12,9.0,*,0.0,*,4.779,58233.7,70.0,*,2.9802826054004666e+41,,*
J1838-0453,279.548,5.0,-4.89037,17.0,2.625598021,5.0,-8.02e-13,3.0,*,0.0,*,6.629,52162.0,9902.0,7.0,2.694878139319929e+42,,1.9060488096818528e+39
J1838-0453,279.548,5.0,-4.89037,17.0,2.625598021,5.0,-8.02e-13,3.0,*,0.0,*,6.629,54140.0,9.0,-0.1,2.4493943904139932e+39,,-1.1022274756862973e+35
