Jname,RA_deg,RA_err,dec_deg,dec_err,F0,F0_err,F1,F1_err,F2,F2_err,binary_model,dist,MJD,dF_F,dF1_F1,E_naive,E_mountain,E_superfluid
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,52346.6,158.0,1.0,1.6935643066462613e+40,,1.337915802250546e+36
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,52576.0,0.9,-0.1,9.646885291023006e+37,,-4.341098380960354e+32
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,52779.7,1.7,-0.1,1.8221894438599014e+38,,-1.548861027280916e+33
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,52858.78,18.6,1.4,1.9936896268114215e+39,,1.3243795378104446e+34
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,52942.5,20.2,1.5,2.1651898097629413e+39,,1.4578944719070474e+34
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,53023.52,1850.9,2.4,1.9839355539060538e+41,,7.650138159843157e+37
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,53473.56,0.8,0.2,8.575009147576007e+37,,1.7150018295152014e+32
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,54450.19,45.9,4.0,4.919911498421734e+39,,2.8227992222194695e+34
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,54695.19,3.0,1.0,3.2156284303410028e+38,,4.823442645511504e+32
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,54810.9,5.2,1.0,5.573755945924404e+38,,1.4491765459403448e+33
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,54928.6,2.3,1.0,2.4653151299281016e+38,,2.835112399417316e+32
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,55213.0,2663.0,1.2,2.854406169999363e+41,,3.167201512795127e+38
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,55936.4,18.3,0.4,1.9615333425080115e+39,,4.487007520987076e+34
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,57346.0,1.94,0.0,2.0794397182871813e+38,,*
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,57468.599,229.4,1.2,2.45888387306742e+40,,2.3502831686736094e+36
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,58241.0,837.9,2.0,8.981250205942419e+40,,1.8813473868897885e+37
J1740-3015,265.14092,5.0,-30.26208,6.0,1.647754226,1.0,-1.27e-12,3.0,*,0.0,*,0.4,59934.8,328.3,1.37,3.518969378936504e+40,,4.2163417777549435e+36
J1740+1000,265.10813,3.0,10.00175,6.0,6.489832814,9.0,-9.04e-13,9.0,*,0.0,*,1.227,54747.6,1.2,1.0,1.995299072810525e+39,,1.197179443686315e+33
J1740+1000,265.10813,3.0,10.00175,6.0,6.489832814,9.0,-9.04e-13,9.0,*,0.0,*,1.227,56164.0,2910.9,11.0,4.840096725870132e+42,,6.4041079815160766e+38
J1743-3150,265.90296,4.0,-31.8396,3.0,0.414138298,1.0,-2.07e-14,5.0,0.0,1.0,*,3.332,49572.0,2.2,2.0,1.489612150788471e+37,,8.192866829336591e+30
J1746-2856,266.7077283,3.0,-28.9497194,3.0,1.057949931,4.0,-1.4e-14,4.0,*,0.0,*,8.149,57038.0,24.4,2.1,1.0781515018645812e+39,,6.263546820356138e+33
J1751-3323,267.88635,5.0,-33.3943,3.0,1.824061585,2.0,-2.94e-14,2.0,*,0.0,*,14.283,53004.0,2.3,-1.0,3.0211101988388378e+38,,-3.474276728664663e+32
J1751-3323,267.88635,5.0,-33.3943,3.0,1.824061585,2.0,-2.94e-14,2.0,*,0.0,*,14.283,54435.0,3.0,-1.0,3.9405785202245715e+38,,-5.910867780336859e+32
J1751-3323,267.88635,5.0,-33.3943,3.0,1.824061585,2.0,-2.94e-14,2.0,*,0.0,*,14.283,57019.0,13.0,-5.0,1.7075840254306478e+39,,-2.219859233059842e+33
J1751-3323,267.88635,5.0,-33.3943,3.0,1.824061585,2.0,-2.94e-14,2.0,*,0.0,*,14.283,58438.0,3.4,27.0,4.465988989587848e+38,,2.811918993444201e+31
J1757-2421,269.372182,6.0,-24.3687,4.0,4.271573098,8.0,-2.37e-13,3.0,3.4e-23,4.0,*,3.124,55716.0,7807.0,6.3,5.623667065166207e+42,,3.484441966488299e+39
J1801-0357,270.344283,13.0,-3.96547,6.0,1.085195596,4.0,-3.89e-15,1.0,0.0,8.0,*,5.739,48000.0,3.1,2.0,1.4412438787837802e+38,,1.1169640060574302e+32
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,46907.0,216.3,-0.5,4.938450431104456e+40,,-1.0681868282478938e+37
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,47855.0,230.7,-0.3,5.267223830123891e+40,,-2.0252475626826365e+37
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,48453.95,348.0,0.0,7.94535714296972e+40,,*
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,49701.7,66.0,2.0,1.506878078839085e+40,,2.4863488300844908e+35
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,50055.3,22.0,-2.0,5.0229269294636156e+39,,-2.7626098112049896e+34
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,50363.06,81.0,2.0,1.8493503694843315e+40,,3.744934498205771e+35
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,50939.0,6.0,4.0,1.3698891625809862e+39,,1.02741687193574e+33
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,52093.0,646.7,0.9,1.476512202401873e+41,,5.304780229407173e+37
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,53306.98,497.0,-1.0,1.134724856337917e+41,,-2.819791267999724e+37
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,55360.0,2.9,*,6.6211309524747655e+38,,*
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,55841.0,1.7,*,3.881352627312794e+38,,*
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,56149.024,513.8,1.2,1.1730817528901843e+41,,2.511372519312403e+37
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,57586.2,48.67,0.79,1.11120842571361e+40,,3.422943929081102e+35
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,58846.0,5.0,*,1.1415743021508216e+39,,*
J1801-2304,270.332562,3.0,-23.079066,3.0,2.404845728,1.0,-6.53e-13,6.0,1.12e-24,4.0,*,4.0,58993.5,374.0,*,8.538975780088147e+40,,*
J1801-2451,270.25007,4.0,-24.85764,6.0,8.004853723,5.0,-8.2e-12,3.0,4.01e-22,10.0,*,3.803,49476.0,1987.9,4.6,5.0287618722288625e+42,,1.0865951875873649e+39
J1801-2451,270.25007,4.0,-24.85764,6.0,8.004853723,5.0,-8.2e-12,3.0,4.01e-22,10.0,*,3.803,50651.0,1247.4,4.7,3.155529734603493e+42,,4.187455096749359e+38
J1801-2451,270.25007,4.0,-24.85764,6.0,8.004853723,5.0,-8.2e-12,3.0,4.01e-22,10.0,*,3.803,52055.0,3755.8,6.8,9.500992927067339e+42,,2.6238109731970234e+39
J1801-2451,270.25007,4.0,-24.85764,6.0,8.004853723,5.0,-8.2e-12,3.0,4.01e-22,10.0,*,3.803,53033.25,17.4,1.4,4.401652828451241e+40,,2.7353128291089853e+35
